,CHEMBL539697,CHEMBL1201837,CHEMBL1166,CHEMBL4594458,CHEMBL457,CHEMBL414357,CHEMBL1201476,CHEMBL34259,CHEMBL1201513,CHEMBL1201772
CHEMBL539697,0.9999999999999998,0.05943613366255377,0.317122667745795,0.0,0.03424542871792929,0.041084360573480416,0.1353823044535947,0.09637860746216498,0.0,0.19448985539982053
CHEMBL1201837,0.05943613366255377,0.9999999999999998,0.05943613366255377,0.0,0.0,0.0,0.05943613366255377,0.0,0.0,0.05943613366255377
CHEMBL1166,0.317122667745795,0.05943613366255377,0.9999999999999998,0.0,0.03364530440727448,0.045670325525553744,0.1353823044535947,0.03926362684599928,0.0,0.1925510352371819
CHEMBL4594458,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL457,0.03424542871792929,0.0,0.03364530440727448,0.0,0.9999999999999998,0.08314392620470455,0.0,0.03766350095808615,0.0,0.02870840350348909
CHEMBL414357,0.041084360573480416,0.0,0.045670325525553744,0.0,0.08314392620470455,0.9999999999999998,0.0,0.032213812284453094,0.0,0.02745163251758192
CHEMBL1201476,0.1353823044535947,0.05943613366255377,0.1353823044535947,0.0,0.0,0.0,0.9999999999999998,0.0,0.2207284741917365,0.1353823044535947
CHEMBL34259,0.09637860746216498,0.0,0.03926362684599928,0.0,0.03766350095808615,0.032213812284453094,0.0,0.9999999999999998,0.0,0.03436085697882522
CHEMBL1201513,0.0,0.0,0.0,0.0,0.0,0.0,0.2207284741917365,0.0,0.9999999999999998,0.0
CHEMBL1201772,0.19448985539982053,0.05943613366255377,0.1925510352371819,0.0,0.02870840350348909,0.02745163251758192,0.1353823044535947,0.03436085697882522,0.0,0.9999999999999998
